"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.163596350E2,4.199425690E-3,9.440424293E-2,2.755499678E-3
1.163795260E2,6.725486368E-3,1.291319877E-1,6.054996047E-4
1.163994170E2,7.835531607E-3,1.655245125E-1,1.714071957E-3
1.164193070E2,1.299759373E-2,2.015317827E-1,-2.459464129E-3
1.164391980E2,1.728972234E-2,2.338451147E-1,-2.286025556E-3
1.164590880E2,1.796687767E-2,2.675342560E-1,-4.406101070E-3
1.164789790E2,2.274617366E-2,2.987761199E-1,-6.818728521E-3
1.164988700E2,2.668929473E-2,3.279148936E-1,-7.399731316E-3
1.165187600E2,2.721207961E-2,3.565676212E-1,-8.083228953E-3
1.165386510E2,2.844037861E-2,3.849342465E-1,-1.194318011E-2
1.165585420E2,3.027169406E-2,4.084766209E-1,-1.088580675E-2
1.165784320E2,3.324306384E-2,4.277906418E-1,-1.350955479E-2
1.165983230E2,3.373938799E-2,4.511800706E-1,-1.577151194E-2
1.166182140E2,3.689691424E-2,4.657067955E-1,-1.692599431E-2
1.166381040E2,3.934543207E-2,4.772857428E-1,-1.543741766E-2
1.166579950E2,3.976451606E-2,4.920797050E-1,-1.818427071E-2
1.166778850E2,4.124582559E-2,4.979189336E-1,-1.801951788E-2
1.166977760E2,4.052415118E-2,5.046317577E-1,-2.095022425E-2
1.167176670E2,4.069468006E-2,5.091452003E-1,-1.922316663E-2
1.167375570E2,4.146895930E-2,5.082592964E-1,-1.937310211E-2
1.167574480E2,4.016289860E-2,5.044938922E-1,-2.116331086E-2
1.167773390E2,4.178126156E-2,4.989703298E-1,-1.903987303E-2
1.167972290E2,4.169106483E-2,4.924566150E-1,-1.728038862E-2
1.168171200E2,4.065486789E-2,4.828157425E-1,-1.931854151E-2
1.168370110E2,4.050662369E-2,4.663490653E-1,-1.813842542E-2
1.168569010E2,3.613699600E-2,4.514011145E-1,-1.695871353E-2
1.168767920E2,3.703393787E-2,4.317349494E-1,-1.559797302E-2
1.168966830E2,3.555815667E-2,4.091070890E-1,-1.076629758E-2
1.169165730E2,3.347299248E-2,3.859224617E-1,-9.920876473E-3
1.169364640E2,3.084618226E-2,3.642303944E-1,-8.960774168E-3
1.169563540E2,3.149759024E-2,3.346914053E-1,-4.778279457E-3
1.169762450E2,3.014240041E-2,3.032147288E-1,-4.434065893E-3
1.169961360E2,2.682291716E-2,2.763927281E-1,-3.073688829E-3
1.170160260E2,2.505373396E-2,2.453612238E-1,-5.565688480E-4
1.170359170E2,2.487028390E-2,2.080750167E-1,2.452437300E-3
1.170558080E2,2.162115648E-2,1.773496419E-1,4.982999526E-3
1.170756980E2,1.750396751E-2,1.414611638E-1,8.342748508E-3
1.170955890E2,1.611153968E-2,1.001310050E-1,7.572198287E-3
1.171154800E2,1.335711591E-2,6.465979666E-2,1.001591329E-2
1.171353700E2,8.412249386E-3,2.843016572E-2,1.144776214E-2
1.171552610E2,6.299830507E-3,-9.533194825E-3,1.529043727E-2
1.171751510E2,4.972379655E-3,-4.829089716E-2,1.636498980E-2
1.171950420E2,4.641403211E-5,-8.239696920E-2,1.670054719E-2
1.172149327E2,-2.475682646E-3,-1.214479357E-1,1.722332649E-2
1.172348227E2,-2.309366129E-3,-1.605803370E-1,1.811438799E-2
1.172547137E2,-4.527866840E-3,-1.943786442E-1,1.978905126E-2
1.172746047E2,-1.049188524E-2,-2.264181525E-1,1.736720465E-2
1.172944947E2,-1.251881197E-2,-2.602142990E-1,1.834931225E-2
1.173143857E2,-1.378164347E-2,-2.923755348E-1,1.618459448E-2
1.173342767E2,-1.874871552E-2,-3.194074631E-1,1.695784181E-2
1.173541667E2,-2.146263793E-2,-3.478285074E-1,1.562699489E-2
1.173740577E2,-2.253181674E-2,-3.781937659E-1,1.590749249E-2
1.173939487E2,-2.569858730E-2,-3.997114897E-1,1.489715371E-2
1.174138387E2,-2.834190242E-2,-4.204287827E-1,1.333271526E-2
1.174337297E2,-3.012617864E-2,-4.414995313E-1,8.717622608E-3
1.174536197E2,-2.942926437E-2,-4.592937231E-1,9.765877388E-3
1.174735107E2,-3.507872298E-2,-4.724396467E-1,6.082858425E-3
1.174934017E2,-3.524522111E-2,-4.861505032E-1,7.568134926E-3
1.175132917E2,-3.284682333E-2,-4.955363572E-1,6.520880386E-3
